x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
추멘 폼 미쳤다,2022,10,8,0,0,11,11,0,4,5,4,4,5,6,,0
달파멸콩,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
멸공좌,2022,2,144,400,166,129,109,20,82,56,140,86,97,7,,0
드럼통 드립,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
좋아 빠르게 가,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"갑니다!!!, 좀 더!!!",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
띠용띠용 워익워익,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
사회 생활 그만하고 인터넷 좀 해,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
트위치는 이게 맞아,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
XX 하면 그만이야,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
따흐흑,2022,11,488,565,677,570,798,1234,894,269,1143,1915,1080,1619,,1
악으로 깡으로 버텨라,2022,8,2844,5996,8955,5588,1517,699,416,211,30,77,51,21,,0
"나는요, 완전히 붕괴됐어요.",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"우는구나, 마침내.",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00할 결심,2022,3,8808,8848,20589,17203,12424,12272,5303,3823,3605,3022,3956,3172,,1
갸루피스,2022,6,947,629,2480,309,435,154,248,142,158,77,21,151,,0
마 갱기에 집중 안 하나,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"야, 형이야.",2022,12,13,18,32,18,13,12,10,8,0,4,0,0,,0
난 아무렇지 않지 않아,2022,7,76,27,32,26,34,151,16,17,13,25,15,34,,0
냬~ 냬~ 냬~ 냬~ 알걨쌥니떄~,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
어쩔 어쩔 저쩔 저쩔 안물티비~ 안궁티비~ 뇌절티비~,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
우짤래미~ 저짤래미 쿠쿠루삥뽕,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
곤룡포좌,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
벤버지,2022,1,200,62,41,14,22,11,0,5,4,2,5,7,,0
손흥민 띠용,2022,10,109,117,42,28,22,18,9,4,0,10,0,0,,0
한반두,2022,3,54,36,31,127,18,13,37,26,45,48,47,27,,0
ㄱㅇㅇ,2022,3,1244,739,456,309,66,53,20,505,0,0,0,0,,0
